# libc6-sha1;package_name;main_arena_offset
e3692ca7b7fa174a1a7fbf9f5432692c5cfa9336;libc6_2.3.5-1ubuntu12_i386_2;1132928
dfdd4660c1949335fe33e444eb8cd4f075997e27;libc6_2.3.6-0ubuntu20.6_amd64;2315808
9245c98fb3ace892e9ac094f6c48be341589427e;libc6_2.3.6-0ubuntu20.6_i386;1137120
691fc284a998b5fbbc676b4d189e5d1eb69639ca;libc6_2.3.6-0ubuntu20.6_i386_2;1137120
e7f1a2d1d418725c88dec4486f81edf49037a752;libc6_2.3.6-0ubuntu20_amd64;2312256
669fae23a5241a685b194bc55abacfcac133da5a;libc6_2.3.6-0ubuntu20_i386;1134272
995994242aac01def39192a57f3ee694083a87c1;libc6_2.3.6-0ubuntu20_i386_2;1134272
3d9a249f3c54120c7414ba60469f40b3dfb20572;libc6_2.4-1ubuntu12.3_amd64;1249568
f7fe44255fa56dc285ceef535f9d1406dbf538cf;libc6_2.4-1ubuntu12.3_i386;2341248
e32dd0ef881253bb80b9c09306f5cd03c1a39bde;libc6_2.4-1ubuntu12_amd64;1249568
3a050dcf7b3288ab6fc2496c1a5185971ab1e053;libc6_2.4-1ubuntu12_i386;2341248
ac1f71c7a4413dc25acc2184aa3459ec6dbf5bd8;libc6_2.5-0ubuntu14_amd64;1302816
dd2643f1ada3fdc63d1f2e81eda21d231ed8f086;libc6_2.5-0ubuntu14_i386;1216800
fde7e2a046e3ca32afcf5854100de05354895de8;libc6_2.6.1-1ubuntu10_amd64;3500416
737e3e1a423e1e46f160057186066eecf18c638a;libc6_2.6.1-1ubuntu10_i386;1249600
7ad48d731d2774073f2ffdb1749aea47f44aa12d;libc6_2.6.1-1ubuntu9_amd64;3500416
06a217555767ecb7b404c245a960b1d0edf97ac6;libc6_2.6.1-1ubuntu9_i386;1249600
8e38170fe96cbbbed0775ec8e69a0f7e2123d2b8;libc6_2.7-10ubuntu3_amd64;1360224
8765c74b35cb6ae99020f6bdb6214baa5ef8e017;libc6_2.7-10ubuntu3_i386;1270112
d54f1958977c4ee4613974f4f7b3043421658ded;libc6_2.7-10ubuntu8.3_amd64;1380704
ec579f4a0960c95f225735393ff073121ab9f892;libc6_2.7-10ubuntu8.3_i386;1290592
b86b05af4355bbb12608df78b7d9a4a1eb11dcf7;libc6_2.8~20080505-0ubuntu7_amd64;1421632
41222d93d019999d18c33505f7adfb701148480e;libc6_2.8~20080505-0ubuntu7_i386;1311040
33828214cd3e560d37bc99d2aae7b52d5f74a65b;libc6_2.8~20080505-0ubuntu9_amd64;1421632
e09f0bee14650f718538d2ab331470f5a92f5257;libc6_2.8~20080505-0ubuntu9_i386;1311040
ebc9b2882a0ea5542cdff46d7408ecf95145680a;libc6_2.9-4ubuntu6.3_amd64;1442112
789c076ade0880a7e97a1d3e9ffa0cec574c7801;libc6_2.9-4ubuntu6.3_i386;3594752
b52bf3e99672b0870607d63bb4f5a9c2b3cbcede;libc6_2.9-4ubuntu6_amd64;1442112
803088880d0abdda917385e88a9ac1ed61ce0f71;libc6_2.9-4ubuntu6_i386;3594752
84d7ecac9d0c61c810c8e4215e4d456fbef667be;libc6_2.23-0ubuntu5_amd64;3947384
